date      KO       IBM     CAT VW   EW  SP
19730731 0.006114 -0.007886 0.075269 0.056954 0.105922 0.037982
19730831 -0.021701 -0.039364 0.034205 -0.029648 -0.044417 -0.036685
19730928 0.041526 -0.142857 0.101167 0.053937 0.072995 0.040096
19731031 -0.024786 0.08624 0.016254 -0.000427 0.000303 -0.001291
19731130 -0.086941 -0.050419 -0.068182 -0.120703 -0.175252 -0.113861
19731231 -0.025048 -0.068868 0.005629 0.011425 -0.041764 0.016569
19740131 -0.071146 -0.006079 -0.100373 0.004408 0.132374 -0.010046
19740228 -0.021277 -0.024852 0.012526 0.002352 0.008623 -0.003624
19740329 -0.037978 -0.008933 -0.026804 -0.023365 0.008379 -0.02328
19740430 -0.041998 -0.036055 0.000424 -0.045957 -0.055537 -0.039051
19740531 0.015403 -0.059274 0.031983 -0.041982 -0.072545 -0.033551
19740628 0.012905 0.001176 -0.028926 -0.022942 -0.033483 -0.014665
19740731 -0.211806 -0.052291 -0.061277 -0.070879 -0.051915 -0.077791
19740830 -0.145374 -0.040298 -0.118721 -0.087756 -0.085788 -0.090279
19740930 -0.288213 -0.171875 -0.145078 -0.109718 -0.079025 -0.119335
19741031 0.229268 0.189465 0.298788 0.165585 0.088877 0.163047
19741129 -0.134405 -0.054858 -0.028235 -0.041047 -0.051395 -0.05318
19741231 -0.018519 -0.052186 -0.060533 -0.027005 -0.080744 -0.020151
19750131 0.257075 0.120536 0.158763 0.1416 0.29926 0.122812
19750228 0.04878 0.152722 0.134529 0.058411 0.053918 0.059886
19750331 0.138819 -0.041183 0.041502 0.030191 0.081497 0.021694
19750430 0.014241 0.015729 0.020114 0.046497 0.031093 0.047265
19750530 0.120125 0.031566 -0.022472 0.05514 0.072876 0.044101
19750630 0.016156 -0.027907 0.024904 0.051473 0.071792 0.044323
19750731 -0.12 -0.089713 0.023551 -0.060385 -0.00896 -0.067654
19750829 -0.034483 -0.011827 -0.016544 -0.023557 -0.048118 -0.02107
19750930 -0.073701 0.010738 -0.026168 -0.03801 -0.038867 -0.034645
19751031 0.14841 0.12749 0.099808 0.055857 0.01472 0.061643
19751128 0.084 0.074794 -0.029877 0.031223 0.016796 0.024708
19751231 -0.06 -0.009387 0.01087 -0.010998 -0.000599 -0.011508
19760130 0.12766 0.149387 0.154122 0.126011 0.190037 0.118306
19760227 -0.088949 -0.001455 0.078125 0.007314 0.106291 -0.011402
19760331 0.047781 0.024939 -0.043478 0.026799 0.018109 0.030689
19760430 -0.061166 -0.03292 0.064394 -0.010389 -0.00381 -0.010995
19760528 -0.015152 0.019734 0.017192 -0.009369 -0.01968 -0.014364
19760630 0.043538 0.078422 0.026761 0.044487 0.02651 0.040926
19760730 0.031204 -0.016712 0.020576 -0.006157 0.002236 -0.008055
19760831 -0.004323 0.01378 -0.05071 -0.001435 -0.016673 -0.005124
19760930 0.001881 0.028323 -0.053419 0.024484 0.01699 0.022641
19761029 -0.042213 -0.034207 0.054176 -0.020373 -0.022586 -0.022235
19761130 -0.029939 0.00552 -0.010776 0.005364 0.026686 -0.007775
19761231 -0.00158 0.029982 0.010893 0.061591 0.10241 0.052498
19770131 -0.053797 -0.013883 -0.103448 -0.036337 0.036903 -0.05053
19770228 0.025084 0.011807 -0.016949 -0.01576 0.0044 -0.02166
19770331 0.013312 0.001812 0.076355 -0.009246 0.010654 -0.014025
19770429 -0.037398 -0.064195 0.004577 0.004952 0.016931 0.000203
19770531 -0.028716 -0.041546 0.036697 -0.010785 0.00287 -0.023568
