date             pg            sp
20000229      -0.130489     -0.020108
20000331      -0.357041      0.096720
20000428       0.063186     -0.030796
20000531       0.112971     -0.021915
20000630      -0.139098      0.023934
20000731      -0.000437     -0.016341
20000831       0.086813      0.060699
20000929       0.083923     -0.053483
20001031       0.071455     -0.004949
20001130       0.048119     -0.080069
20001229       0.047579      0.004053
20010131      -0.079649      0.034637
20010228      -0.018653     -0.092291
20010330      -0.112057     -0.064205
20010430      -0.035144      0.076814
20010531       0.069775      0.005090
20010629      -0.006849     -0.025004
20010731       0.119122     -0.010772
20010831       0.044072     -0.064108
20010928      -0.018341     -0.081723
20011031       0.018821      0.018099
20011130       0.049878      0.075176
20011231       0.021559      0.007574
20020131       0.037028     -0.015574
20020228       0.038075     -0.020766
20020328       0.062507      0.036739
20020430       0.006105     -0.061418
20020531      -0.007866     -0.009081
20020628       0.005430     -0.072465
20020731       0.001120     -0.078995
20020830      -0.003821      0.004881
20020930       0.008235     -0.110013
20021031      -0.005818      0.086436
20021129      -0.044319      0.057070
20021231       0.016681     -0.060333
20030131       0.000465     -0.027415
20030228      -0.043356     -0.017004
20030331       0.087833      0.008358
20030430       0.013588      0.081044
20030530       0.021925      0.050899
20030630      -0.028752      0.011322
20030731      -0.009587      0.016224
20030829      -0.006601      0.017873
20030930       0.063352     -0.011944
20031031       0.063833      0.054962
20031128      -0.020857      0.007129
20031231       0.037822      0.050765
20040130       0.016570      0.017276
20040227       0.014147      0.012209
20040331       0.023120     -0.016359
20040430       0.013063     -0.016791
20040528       0.019574      0.012083
20040630       0.009831      0.017989
20040730      -0.037472     -0.034291
20040831       0.073250      0.002287
20040930      -0.033053      0.009364
20041029      -0.049704      0.014014
20041130       0.044939      0.038595
20041231       0.029918      0.032458
20050131      -0.029049     -0.025290
20050228      -0.002630      0.018903
20050331      -0.001695     -0.019118
20050429       0.026981     -0.020109
20050531       0.018467      0.029952
20050630      -0.043518     -0.000143
20050729       0.059905      0.035968
20050831      -0.002696     -0.011222
20050930       0.071738      0.006949
20051031      -0.053649     -0.017741
20051130       0.021432      0.035186
20051230       0.012065     -0.000952
20060131       0.028162      0.025467
20060228       0.011818      0.000453
20060331      -0.038378      0.011065
20060428       0.015443      0.012187
20060531      -0.068030     -0.030917
20060630       0.024885      0.000087
20060731       0.016367      0.005086
20060831       0.101424      0.021274
20060929       0.001292      0.024566
20061031       0.027751      0.031508
20061130      -0.009465      0.016467
20061229       0.023571      0.012616
20070131       0.014159      0.014059
20070228      -0.021273     -0.021846
20070330      -0.005198      0.009980
20070430       0.025174      0.043291
20070531      -0.013199      0.032549
20070629      -0.037136     -0.017816
20070731       0.016669     -0.031982
20070831       0.055771      0.012864
20070928       0.077017      0.035794
20071031      -0.006682      0.014822
20071130       0.064442     -0.044043
20071231      -0.007838     -0.008628
20080131      -0.104195     -0.061163
20080229       0.011617     -0.034761
20080331       0.058779     -0.005960
20080430      -0.037391      0.047547
20080530      -0.014914      0.010674
20080630      -0.079334     -0.085962
20080731       0.083374     -0.009859
20080829       0.065516      0.012191
20080930      -0.001147     -0.090791
20081031      -0.068159     -0.169425
20081128      -0.002944     -0.074849
20081231      -0.039316      0.007822
20090130      -0.111938     -0.085657
20090227      -0.116147     -0.109931
20090331      -0.022421      0.085405
20090430       0.059248      0.093925
20090529       0.050566      0.053081
20090630      -0.016173      0.000196
20090731       0.094912      0.074142
20090831      -0.025221      0.033560
20090930       0.070412      0.035723
20091030       0.008978     -0.019762
20091130       0.075000      0.057364
20091231      -0.027586      0.017771
20100129       0.022431     -0.036974
20100226       0.028107      0.028514
20100331      -0.000158      0.058796
20100430      -0.009929      0.014759
20100528      -0.017214     -0.081976
20100630      -0.018170     -0.053882
20100730       0.027706      0.068778
20100831      -0.024362     -0.047449
20100930       0.005028      0.087551
20101029       0.068064      0.036856
20101130      -0.039327     -0.002290
20101231       0.053381      0.065300
